ISO3C Code,Name,ITZ,Source
HKG,Hong Kong SAR China,Eastern and Southern Asia,Addition
HND,Honduras,Northern America,Chen et al.
HRV,Croatia,Europe,Addition
HTI,Haiti,Southern America,Chen et al.
HUN,Hungary,Europe,Addition
IDN,Indonesia,Eastern and Southern Asia,Chen et al.
IND,India,Eastern and Southern Asia,Chen et al.
IRL,Ireland,Europe,Chen et al.
IRN,Iran,Asia-Europe,Chen et al.
IRQ,Iraq,Asia-Europe,Chen et al.
ISL,Iceland,Europe,Chen et al.
ISR,Israel,Asia-Europe,Addition
ITA,Italy,Europe,Addition
JAM,Jamaica,Southern America,Chen et al.
JOR,Jordan,Asia-Europe,Chen et al.
KAZ,Kazakhstan,Asia-Europe,Chen et al.
KEN,Kenya,Africa,Chen et al.
KGZ,Kyrgyzstan,Asia-Europe,Chen et al.
KHM,Cambodia,Eastern and Southern Asia,Chen et al.
KOR,South Korea,Eastern and Southern Asia,Chen et al.
KWT,Kuwait,Asia-Europe,Chen et al.
LAO,Laos,Eastern and Southern Asia,Chen et al.
LBN,Lebanon,Asia-Europe,Chen et al.
LBR,Liberia,Africa,Addition
LBY,Libya,Europe,Addition
LCA,St. Lucia,Southern America,Addition
LKA,Sri Lanka,Eastern and Southern Asia,Chen et al.
LSO,Lesotho,Africa,Addition
LTU,Lithuania,Europe,Chen et al.
LUX,Luxembourg,Europe,Addition
LVA,Latvia,Europe,Addition
MAC,Macao SAR China,Eastern and Southern Asia,Addition
MAR,Morocco,Europe,Chen et al.
MDA,Moldova,Europe,Addition
MDG,Madagascar,Africa,Chen et al.
MDV,Maldives,Eastern and Southern Asia,Chen et al.
MEX,Mexico,Northern America,Chen et al.
MKD,North Macedonia,Europe,Addition
MLI,Mali,Africa,Chen et al.
MLT,Malta,Europe,Chen et al.
MMR,Myanmar (Burma),Eastern and Southern Asia,Addition
MNE,Montenegro,Europe,Addition
MNG,Mongolia,Eastern and Southern Asia,Chen et al.
MOZ,Mozambique,Africa,Chen et al.
MRT,Mauritania,Africa,Addition
MUS,Mauritius,Africa,Chen et al.
MWI,Malawi,Africa,Addition
MYS,Malaysia,Eastern and Southern Asia,Chen et al.
NAM,Namibia,Africa,Addition
NCL,New Caledonia,Oceania-Melanesia-Polynesia,Chen et al.
NER,Niger,Africa,Chen et al.
NGA,Nigeria,Africa,Chen et al.
NIC,Nicaragua,Northern America,Chen et al.
NLD,Netherlands,Europe,Chen et al.
NOR,Norway,Europe,Chen et al.
NPL,Nepal,Eastern and Southern Asia,Chen et al.
NZL,New Zealand,Oceania-Melanesia-Polynesia,Addition
OMN,Oman,Asia-Europe,Chen et al.
PAK,Pakistan,Asia-Europe,Chen et al.
PAN,Panama,Southern America,Chen et al.
PER,Peru,Northern America,Chen et al.
PHL,Philippines,Eastern and Southern Asia,Chen et al.
PNG,Papua New Guinea,Eastern and Southern Asia,Chen et al.
POL,Poland,Europe,Chen et al.
PRI,Puerto Rico,Northern America,Addition
PRK,North Korea,Eastern and Southern Asia,Addition
PRT,Portugal,Europe,Addition
PRY,Paraguay,Southern America,Chen et al.
PSE,Palestinian Territories,Asia-Europe,Addition
QAT,Qatar,Asia-Europe,Chen et al.
ROU,Romania,Europe,Addition
RUS,Russia,Eastern and Southern Asia,Chen et al.
RWA,Rwanda,Asia-Europe,Chen et al.
SAU,Saudi Arabia,Asia-Europe,Addition
SDN,Sudan,Africa,Addition
SEN,Senegal,Africa,Chen et al.
SGP,Singapore,Eastern and Southern Asia,Chen et al.
SLB,Solomon Islands,Oceania-Melanesia-Polynesia,Addition
SLE,Sierra Leone,Africa,Chen et al.
SLV,El Salvador,Southern America,Chen et al.
SRB,Serbia,Europe,Addition
SSD,South Sudan,Africa,Addition
STP,São Tomé & Príncipe,Africa,Addition
SUR,Suriname,Southern America,Chen et al.
SVK,Slovakia,Europe,Chen et al.
SVN,Slovenia,Europe,Chen et al.
SWE,Sweden,Europe,Addition
SWZ,Eswatini,Africa,Addition
SYR,Syria,Asia-Europe,Addition
TCD,Chad,Africa,Addition
TGO,Togo,Africa,Chen et al.
THA,Thailand,Eastern and Southern Asia,Chen et al.
TJK,Tajikistan,Asia-Europe,Addition
TKM,Turkmenistan,Asia-Europe,Addition
TLS,Timor-Leste,Eastern and Southern Asia,Addition
TON,Tonga,Oceania-Melanesia-Polynesia,Addition
TTO,Trinidad & Tobago,Southern America,Addition
TUN,Tunisia,Europe,Addition
TUR,Turkey,Asia-Europe,Chen et al.
TZA,Tanzania,Africa,Chen et al.
UGA,Uganda,Africa,Chen et al.
UKR,Ukraine,Europe,Chen et al.
URY,Uruguay,Southern America,Chen et al.
USA,United States,Northern America,Chen et al.
UZB,Uzbekistan,Asia-Europe,Addition
VCT,St. Vincent & Grenadines,Southern America,Addition
VEN,Venezuela,Southern America,Chen et al.
VNM,Vietnam,Eastern and Southern Asia,Chen et al.
VUT,Vanuatu,Oceania-Melanesia-Polynesia,Addition
WSM,Samoa,Oceania-Melanesia-Polynesia,Addition
YEM,Yemen,Asia-Europe,Addition
ZAF,South Africa,Africa,Chen et al.
ZMB,Zambia,Africa,Chen et al.
ZWE,Zimbabwe,Africa,Addition
JPN,Japan,Eastern and Southern Asia,Addition
TWN,"China, Taiwan Province of China",Eastern and Southern Asia,Addition
SOM,Somalia,Africa,Addition
XKX,Kosovo (under UNSC res. 1244),Europe,Addition
